list_entry,reason,title,statutory_address
1292741,monument,"Philips Monument Approximately 1 Metre South of East End of South Tower at St Mary and St Radegund Church","PHILIPS MONUMENT APPROXIMATELY 1 METRE SOUTH OF EAST END OF SOUTH TOWER AT ST MARY AND ST RADEGUND CHURCH, HIGH STREET"
1292766,monument,"Monument Approximately 1 Metre to North of Monument South of Monument South of South Aisle at All Saints Church","MONUMENT APPROXIMATELY 1 METRE TO NORTH OF MONUMENT SOUTH OF MONUMENT SOUTH OF SOUTH AISLE AT ALL SAINTS CHURCH, CHURCH HILL"
1292783,monument,"Monument Approximately 3 Metres South of Monument to Amelia Cox at St George's Church","MONUMENT APPROXIMATELY 3 METRES SOUTH OF MONUMENT TO AMELIA COX AT ST GEORGE&#x27;S CHURCH, ARRETON STREET"
1292785,monument,"Monument to William Cromwell Approximately 1 Metre South of South Window at St George's Church","MONUMENT TO WILLIAM CROMWELL APPROXIMATELY 1 METRE SOUTH OF SOUTH WINDOW AT ST GEORGE&#x27;S CHURCH, ARRETON STREET"
1292786,monument,"Rayner Monument Approximately 1/2 Metre West of Monument 8 Metres North of West Tower at St George's Church","RAYNER MONUMENT APPROXIMATELY 1/2 METRE WEST OF MONUMENT 8 METRES NORTH OF WEST TOWER AT ST GEORGE&#x27;S CHURCH, ARRETON STREET"
1292790,wall_related,"Forecourt Wall to West Malling Free Church","FORECOURT WALL TO WEST MALLING FREE CHURCH, SWAN STREET"
1293535,monument,"Saxby Monument 20 Yards West North West of All Saints' Church","SAXBY MONUMENT 20 YARDS WEST NORTH WEST OF ALL SAINTS&#x27; CHURCH, FRIAR&#x27;S WALK"
1294372,gate_related,"Christ Church Southgate Parish Church","CHRIST CHURCH, WATERFALL ROAD N14"
1295752,gate_related,"Stocks Approximately 5 Metres North of East Gate to Church","STOCKS APPROXIMATELY 5 METRES NORTH OF EAST GATE TO CHURCH, LEATHLEY LANE"
1295819,wall_related,"Milestone Against East Wall of St Peter's Church","MILESTONE AGAINST EAST WALL OF ST PETER&#x27;S CHURCH, HIGH STREET"
1296314,headstone,"Headstone Approximately 10 Metres South East of St Marys Church","HEADSTONE APPROXIMATELY 10 METRES SOUTH EAST OF ST MARY&#x27;S CHURCH, ANSERDALE LANE"
1296486,monument,"Paltock Monument in St Mary's Churchyard (11 Metres to North North East of Brick Chapel)","PALTOCK MONUMENT IN ST MARY&#x27;S CHURCHYARD (11 METRES TO NORTH NORTH EAST OF BRICK CHAPEL), CHURCH END"
1296627,churchyard_feature,"Churchyard Cross Approximately 3 Metres to East of South Porch of All Saints Church","CHURCHYARD CROSS APPROXIMATELY 3 METRES TO EAST OF SOUTH PORCH OF ALL SAINTS CHURCH, CHURCH HILL"
1297091,monument,"Stringfellow Monument, Approximately 65 Metres West of Cemetery Mortuary Chapels","STRINGFELLOW MONUMENT, APPROXIMATELY 65 METRES WEST OF CEMETERY MORTUARY CHAPELS, ZEMBARD LANE"
1297143,headstone,"Headstone Approximately 18 Metres West North West of West Door of Parish Church","HEADSTONE APPROXIMATELY 18 METRES WEST NORTH WEST OF WEST DOOR OF PARISH CHURCH, CHURCH STREET"
1297958,headstone,"Headstone of Herbert Stansfield, St Peter's Churchyard Approximately 20 Metres South East of Church","HEADSTONE OF HERBERT STANSFIELD, ST PETER&#x27;S CHURCHYARD APPROXIMATELY 20 METRES SOUTH EAST OF CHURCH, GLEBE STREET"
1298852,monument,"Monument About 25 Metres South East of South Chancel Chapel of Church of All Saints","MONUMENT ABOUT 25 METRES SOUTH EAST OF SOUTH CHANCEL CHAPEL OF CHURCH OF ALL SAINTS, HIGH STREET"
